Overriding config with config/train_cores_85m_test.py:
# Cores-AI TR - 85M Test Modeli - Colab T4 (16GB VRAM)
# Faz A: Pipeline dogrulama, hizli test
# Kullanim: python train.py config/train_cores_85m_test.py

out_dir = '/content/drive/MyDrive/Cores-AI TR v1.0.0-85M/out-cores-85m-test'
eval_interval = 250
eval_iters = 50
log_interval = 10
always_save_checkpoint = True
wandb_log = False

# Veri
dataset = 'turkce'

# Model - 85M
n_layer = 10
n_head = 10
n_embd = 640
dropout = 0.0
bias = False

# Batch - Colab T4 (16GB) için OPTIMIZE
batch_size = 16                   # 2 -> 16 (T4 rahat kaldırır)
block_size = 512                  # 256 -> 512 (daha uzun bağlam)
gradient_accumulation_steps = 5   # 20 -> 5 (efektif batch = 16 × 5 = 80)

# Optimizer
learning_rate = 3e-4
max_iters = 5000
weight_decay = 1e-1
beta1 = 0.9
beta2 = 0.95
grad_clip = 1.0

# LR schedule
decay_lr = True
warmup_iters = 500
lr_decay_iters = 5000
min_lr = 3e-5

# Sistem - Colab T4
device = 'cuda'
dtype = 'float16'                 # T4 bfloat16 desteklemez
compile = False                    # Colab'da Triton var, ÇALIŞIR! (hız)

# Gradient checkpointing - T4'te VRAM rahat, KAPAT (hız)
use_gradient_checkpointing = False
tokens per iteration will be: 40,960
found vocab_size = 50000 (inside data/turkce/meta.pkl)
Initializing a new model from scratch
number of parameters: 81.17M
/content/nanoGPT/train.py:202: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 42, with 81,479,680 parameters
num non-decayed parameter tensors: 21, with 13,440 parameters
using fused AdamW: True
step 0: train loss 10.9320, val loss 10.9370
iter 0: loss 10.9053, time 14048.50ms, mfu -100.00%
iter 10: loss 10.1483, time 1824.61ms, mfu 407.41%
iter 20: loss 9.8267, time 2009.82ms, mfu 403.66%
iter 30: loss 9.2479, time 1956.29ms, mfu 401.29%
iter 40: loss 8.7780, time 1837.14ms, mfu 401.63%
iter 50: loss 8.4799, time 1843.19ms, mfu 401.80%
iter 60: loss 8.9353, time 1945.83ms, mfu 399.82%
iter 70: loss 7.7348, time 1919.90ms, mfu 398.56%
iter 80: loss 7.5522, time 1864.41ms, mfu 398.57%
iter 90: loss 7.8838, time 1873.92ms, mfu 398.39%
iter 100: loss 7.7555, time 1914.32ms, mfu 397.38%
iter 110: loss 6.4039, time 1890.98ms, mfu 396.95%
iter 120: loss 7.4380, time 1859.63ms, mfu 397.23%
iter 130: loss 7.0409, time 1877.12ms, mfu 397.11%
iter 140: loss 5.9097, time 1897.17ms, mfu 396.58%
iter 150: loss 6.6780, time 1893.32ms, mfu 396.19%
iter 160: loss 6.3534, time 1902.82ms, mfu 395.64%
iter 170: loss 6.3216, time 1879.82ms, mfu 395.62%
iter 180: loss 6.1766, time 1886.32ms, mfu 395.46%
iter 190: loss 6.9784, time 1878.10ms, mfu 395.50%
iter 200: loss 6.5094, time 1884.69ms, mfu 395.39%
iter 210: loss 5.2705, time 1887.21ms, mfu 395.24%
iter 220: loss 5.8973, time 1879.90ms, mfu 395.26%
iter 230: loss 6.6193, time 1872.61ms, mfu 395.43%
iter 240: loss 5.1331, time 1887.16ms, mfu 395.28%
step 250: train loss 5.5882, val loss 4.2955
saving checkpoint to /content/drive/MyDrive/Cores-AI TR v1.0.0-85M/out-cores-85m-test
iter 250: loss 4.2437, time 26293.30ms, mfu 358.58%
iter 260: loss 5.5563, time 1958.34ms, mfu 360.68%
iter 270: loss 5.5813, time 2017.24ms, mfu 361.46%
iter 280: loss 5.6458, time 1841.41ms, mfu 365.69%
iter 290: loss 6.1760, time 1832.57ms, mfu 369.68%
iter 300: loss 4.9050, time 1900.21ms, mfu 371.84%
iter 310: loss 6.4340, time 1921.82ms, mfu 373.33%
iter 320: loss 4.8237, time 1881.01ms, mfu 375.52%
iter 330: loss 4.2123, time 1860.02ms, mfu 377.93%
iter 340: loss 4.8583, time 1881.91ms, mfu 379.64%
iter 350: loss 6.1621, time 1890.37ms, mfu 381.00%
iter 360: loss 4.3130, time 1887.28ms, mfu 382.29%
iter 370: loss 5.3348, time 1907.82ms, mfu 383.03%
iter 380: loss 6.1090, time 1899.69ms, mfu 383.85%
iter 390: loss 4.9455, time 1877.92ms, mfu 385.05%
iter 400: loss 4.2389, time 1889.87ms, mfu 385.88%
iter 410: loss 5.0733, time 1875.05ms, mfu 386.94%
iter 420: loss 5.0336, time 1880.95ms, mfu 387.77%
iter 430: loss 4.7232, time 1869.31ms, mfu 388.76%
iter 440: loss 5.1779, time 1862.43ms, mfu 389.80%
iter 450: loss 5.4637, time 1875.52ms, mfu 390.45%
iter 460: loss 4.1166, time 1873.76ms, mfu 391.08%
iter 470: loss 5.0660, time 1881.74ms, mfu 391.48%
iter 480: loss 5.3988, time 1864.65ms, mfu 392.20%
iter 490: loss 4.5502, time 1862.38ms, mfu 392.89%
step 500: train loss 4.5048, val loss 3.7661
